,time
174,2018-04-11 07:40:22
175,2018-04-11 07:40:23
176,2018-04-11 07:40:25
177,2018-04-11 07:40:25
178,2018-04-11 07:40:27
179,2018-04-11 07:40:28
180,2018-04-11 07:40:30
181,2018-04-11 07:40:34
182,2018-04-11 07:40:36
183,2018-04-11 07:40:37
184,2018-04-11 07:40:40
185,2018-04-11 07:40:45
186,2018-04-11 07:40:46
187,2018-04-11 07:40:46
188,2018-04-11 07:40:47
189,2018-04-11 07:40:48
190,2018-04-11 07:40:49
191,2018-04-11 07:40:49
192,2018-04-11 07:40:50
193,2018-04-11 07:40:52
194,2018-04-11 07:40:55
195,2018-04-11 07:40:56
196,2018-04-11 07:40:56
197,2018-04-11 07:41:00
198,2018-04-11 07:41:00
199,2018-04-11 07:41:00
200,2018-04-11 07:41:00
201,2018-04-11 07:41:01
202,2018-04-11 07:41:03
203,2018-04-11 07:41:07
204,2018-04-11 07:41:10
205,2018-04-11 07:41:10
206,2018-04-11 07:41:11
207,2018-04-11 07:41:12
208,2018-04-11 07:41:12
209,2018-04-11 07:41:13
210,2018-04-11 07:41:17
211,2018-04-11 07:41:18
212,2018-04-11 07:41:18
213,2018-04-11 07:41:22
214,2018-04-11 07:41:24
215,2018-04-11 07:41:27
216,2018-04-11 07:41:28
217,2018-04-11 07:41:28
218,2018-04-11 07:41:28
219,2018-04-11 07:41:29
220,2018-04-11 07:41:31
221,2018-04-11 07:41:33
222,2018-04-11 07:41:34
223,2018-04-11 07:41:36
224,2018-04-11 07:41:36
225,2018-04-11 07:41:37
226,2018-04-11 07:41:37
227,2018-04-11 07:41:37
228,2018-04-11 07:41:39
229,2018-04-11 07:41:39
230,2018-04-11 07:41:40
231,2018-04-11 07:41:43
232,2018-04-11 07:41:48
233,2018-04-11 07:41:49
234,2018-04-11 07:41:51
235,2018-04-11 07:41:52
236,2018-04-11 07:41:53
237,2018-04-11 07:41:53
238,2018-04-11 07:41:56
239,2018-04-11 07:41:57
240,2018-04-11 07:41:59
241,2018-04-11 07:42:00
242,2018-04-11 07:42:01
243,2018-04-11 07:42:04
244,2018-04-11 07:42:06
245,2018-04-11 07:42:07
246,2018-04-11 07:42:09
247,2018-04-11 07:42:09
248,2018-04-11 07:42:10
249,2018-04-11 07:42:11
250,2018-04-11 07:42:13
251,2018-04-11 07:42:13
252,2018-04-11 07:42:15
253,2018-04-11 07:42:16
254,2018-04-11 07:42:18
255,2018-04-11 07:42:18
256,2018-04-11 07:42:19
257,2018-04-11 07:42:19
258,2018-04-11 07:42:20
259,2018-04-11 07:42:23
260,2018-04-11 07:42:23
261,2018-04-11 07:42:23
262,2018-04-11 07:42:25
263,2018-04-11 07:42:25
264,2018-04-11 07:42:28
265,2018-04-11 07:42:30
266,2018-04-11 07:42:33
267,2018-04-11 07:42:35
268,2018-04-11 07:42:38
269,2018-04-11 07:42:39
270,2018-04-11 07:42:40
271,2018-04-11 07:42:45
272,2018-04-11 07:42:49
273,2018-04-11 07:42:51
274,2018-04-11 07:42:54
275,2018-04-11 07:42:55
276,2018-04-11 07:42:57
277,2018-04-11 07:42:59
278,2018-04-11 07:43:00
279,2018-04-11 07:43:00
280,2018-04-11 07:43:01
281,2018-04-11 07:43:01
282,2018-04-11 07:43:02
283,2018-04-11 07:43:03
284,2018-04-11 07:43:03
285,2018-04-11 07:43:03
286,2018-04-11 07:43:04
287,2018-04-11 07:43:09
288,2018-04-11 07:43:13
289,2018-04-11 07:43:15
290,2018-04-11 07:43:17
291,2018-04-11 07:43:22
292,2018-04-11 07:43:22
293,2018-04-11 07:43:25
294,2018-04-11 07:43:26
295,2018-04-11 07:43:28
296,2018-04-11 07:43:29
297,2018-04-11 07:43:29
298,2018-04-11 07:43:30
299,2018-04-11 07:43:30
300,2018-04-11 07:43:34
301,2018-04-11 07:43:35
302,2018-04-11 07:43:35
303,2018-04-11 07:43:36
304,2018-04-11 07:43:36
305,2018-04-11 07:43:38
306,2018-04-11 07:43:39
307,2018-04-11 07:43:40
308,2018-04-11 07:43:41
309,2018-04-11 07:43:41
310,2018-04-11 07:43:42
311,2018-04-11 07:43:44
312,2018-04-11 07:43:47
313,2018-04-11 07:43:48
314,2018-04-11 07:43:50
315,2018-04-11 07:43:52
316,2018-04-11 07:43:54
317,2018-04-11 07:43:54
318,2018-04-11 07:43:55
319,2018-04-11 07:43:57
320,2018-04-11 07:43:57
321,2018-04-11 07:43:59
322,2018-04-11 07:44:01
323,2018-04-11 07:44:02
324,2018-04-11 07:44:02
325,2018-04-11 07:44:03
326,2018-04-11 07:44:04
327,2018-04-11 07:44:05
328,2018-04-11 07:44:08
329,2018-04-11 07:44:12
330,2018-04-11 07:44:13
331,2018-04-11 07:44:15
332,2018-04-11 07:44:15
333,2018-04-11 07:44:15
334,2018-04-11 07:44:17
335,2018-04-11 07:44:20
336,2018-04-11 07:44:21
337,2018-04-11 07:44:21
338,2018-04-11 07:44:22
339,2018-04-11 07:44:23
340,2018-04-11 07:44:24
341,2018-04-11 07:44:24
342,2018-04-11 07:44:26
343,2018-04-11 07:44:27
344,2018-04-11 07:44:27
345,2018-04-11 07:44:27
346,2018-04-11 07:44:28
347,2018-04-11 07:44:30
348,2018-04-11 07:44:30
349,2018-04-11 07:44:31
350,2018-04-11 07:44:32
351,2018-04-11 07:44:34
352,2018-04-11 07:44:35
353,2018-04-11 07:44:35
354,2018-04-11 07:44:37
355,2018-04-11 07:44:37
356,2018-04-11 07:44:40
357,2018-04-11 07:44:40
358,2018-04-11 07:44:41
359,2018-04-11 07:44:41
360,2018-04-11 07:44:43
361,2018-04-11 07:44:47
362,2018-04-11 07:44:48
363,2018-04-11 07:44:49
364,2018-04-11 07:44:49
365,2018-04-11 07:44:53
366,2018-04-11 07:44:55
367,2018-04-11 07:45:00
368,2018-04-11 07:45:00
369,2018-04-11 07:45:00
370,2018-04-11 07:45:01
371,2018-04-11 07:45:02
372,2018-04-11 07:45:02
373,2018-04-11 07:45:03
374,2018-04-11 07:45:04
375,2018-04-11 07:45:04
376,2018-04-11 07:45:06
377,2018-04-11 07:45:07
378,2018-04-11 07:45:07
379,2018-04-11 07:45:09
380,2018-04-11 07:45:11
381,2018-04-11 07:45:12
382,2018-04-11 07:45:12
383,2018-04-11 07:45:12
384,2018-04-11 07:45:13
385,2018-04-11 07:45:13
386,2018-04-11 07:45:15
387,2018-04-11 07:45:16
388,2018-04-11 07:45:20
389,2018-04-11 07:45:20
390,2018-04-11 07:45:20
391,2018-04-11 07:45:21
392,2018-04-11 07:45:22
393,2018-04-11 07:45:23
394,2018-04-11 07:45:27
395,2018-04-11 07:45:28
396,2018-04-11 07:45:29
397,2018-04-11 07:45:30
398,2018-04-11 07:45:31
399,2018-04-11 07:45:32
400,2018-04-11 07:45:35
401,2018-04-11 07:45:36
402,2018-04-11 07:45:37
403,2018-04-11 07:45:39
404,2018-04-11 07:45:40
405,2018-04-11 07:45:41
406,2018-04-11 07:45:43
407,2018-04-11 07:45:43
408,2018-04-11 07:45:43
409,2018-04-11 07:45:45
410,2018-04-11 07:45:45
411,2018-04-11 07:45:47
412,2018-04-11 07:45:49
413,2018-04-11 07:45:50
414,2018-04-11 07:45:51
415,2018-04-11 07:45:51
416,2018-04-11 07:45:54
417,2018-04-11 07:45:56
418,2018-04-11 07:45:57
419,2018-04-11 07:45:58
420,2018-04-11 07:45:59
421,2018-04-11 07:46:00
422,2018-04-11 07:46:01
423,2018-04-11 07:46:02
424,2018-04-11 07:46:02
425,2018-04-11 07:46:02
426,2018-04-11 07:46:02
427,2018-04-11 07:46:03
428,2018-04-11 07:46:04
429,2018-04-11 07:46:06
430,2018-04-11 07:46:08
431,2018-04-11 07:46:10
432,2018-04-11 07:46:12
433,2018-04-11 07:46:14
434,2018-04-11 07:46:15
435,2018-04-11 07:46:16
436,2018-04-11 07:46:16
437,2018-04-11 07:46:18
438,2018-04-11 07:46:19
439,2018-04-11 07:46:20
440,2018-04-11 07:46:21
441,2018-04-11 07:46:21
442,2018-04-11 07:46:21
443,2018-04-11 07:46:23
444,2018-04-11 07:46:29
445,2018-04-11 07:46:34
446,2018-04-11 07:46:41
447,2018-04-11 07:46:42
448,2018-04-11 07:46:45
449,2018-04-11 07:46:47
450,2018-04-11 07:46:51
451,2018-04-11 07:46:51
452,2018-04-11 07:46:53
453,2018-04-11 07:46:54
454,2018-04-11 07:46:54
455,2018-04-11 07:46:55
456,2018-04-11 07:46:59
457,2018-04-11 07:47:00
458,2018-04-11 07:47:01
459,2018-04-11 07:47:01
460,2018-04-11 07:47:02
461,2018-04-11 07:47:03
462,2018-04-11 07:47:03
463,2018-04-11 07:47:04
464,2018-04-11 07:47:05
465,2018-04-11 07:47:06
466,2018-04-11 07:47:09
467,2018-04-11 07:47:10
468,2018-04-11 07:47:11
469,2018-04-11 07:47:12
470,2018-04-11 07:47:12
471,2018-04-11 07:47:12
472,2018-04-11 07:47:16
473,2018-04-11 07:47:17
474,2018-04-11 07:47:19
475,2018-04-11 07:47:21
476,2018-04-11 07:47:21
477,2018-04-11 07:47:22
478,2018-04-11 07:47:23
479,2018-04-11 07:47:25
480,2018-04-11 07:47:26
481,2018-04-11 07:47:26
482,2018-04-11 07:47:27
483,2018-04-11 07:47:28
484,2018-04-11 07:47:29
485,2018-04-11 07:47:30
486,2018-04-11 07:47:34
487,2018-04-11 07:47:34
488,2018-04-11 07:47:37
489,2018-04-11 07:47:39
490,2018-04-11 07:47:40
491,2018-04-11 07:47:40
492,2018-04-11 07:47:42
493,2018-04-11 07:47:47
494,2018-04-11 07:47:48
495,2018-04-11 07:47:50
496,2018-04-11 07:47:52
497,2018-04-11 07:47:53
498,2018-04-11 07:47:55
499,2018-04-11 07:47:59
500,2018-04-11 07:48:00
501,2018-04-11 07:48:01
502,2018-04-11 07:48:03
503,2018-04-11 07:48:05
504,2018-04-11 07:48:06
505,2018-04-11 07:48:07
506,2018-04-11 07:48:08
507,2018-04-11 07:48:08
508,2018-04-11 07:48:10
509,2018-04-11 07:48:11
510,2018-04-11 07:48:13
511,2018-04-11 07:48:14
512,2018-04-11 07:48:15
513,2018-04-11 07:48:16
514,2018-04-11 07:48:18
515,2018-04-11 07:48:18
516,2018-04-11 07:48:18
517,2018-04-11 07:48:19
518,2018-04-11 07:48:20
519,2018-04-11 07:48:21
520,2018-04-11 07:48:23
521,2018-04-11 07:48:25
522,2018-04-11 07:48:26
523,2018-04-11 07:48:26
524,2018-04-11 07:48:27
525,2018-04-11 07:48:28
526,2018-04-11 07:48:28
527,2018-04-11 07:48:30
528,2018-04-11 07:48:31
529,2018-04-11 07:48:32
530,2018-04-11 07:48:33
531,2018-04-11 07:48:34
532,2018-04-11 07:48:37
533,2018-04-11 07:48:39
534,2018-04-11 07:48:39
535,2018-04-11 07:48:40
536,2018-04-11 07:48:41
537,2018-04-11 07:48:41
538,2018-04-11 07:48:43
539,2018-04-11 07:48:46
540,2018-04-11 07:48:47
541,2018-04-11 07:48:49
542,2018-04-11 07:48:54
543,2018-04-11 07:48:55
544,2018-04-11 07:48:56
545,2018-04-11 07:48:57
546,2018-04-11 07:48:57
547,2018-04-11 07:48:58
548,2018-04-11 07:48:59
549,2018-04-11 07:49:05
550,2018-04-11 07:49:05
551,2018-04-11 07:49:06
552,2018-04-11 07:49:06
553,2018-04-11 07:49:06
554,2018-04-11 07:49:07
555,2018-04-11 07:49:08
556,2018-04-11 07:49:10
557,2018-04-11 07:49:11
558,2018-04-11 07:49:11
559,2018-04-11 07:49:12
560,2018-04-11 07:49:12
561,2018-04-11 07:49:14
562,2018-04-11 07:49:15
563,2018-04-11 07:49:16
564,2018-04-11 07:49:18
565,2018-04-11 07:49:19
566,2018-04-11 07:49:20
567,2018-04-11 07:49:20
568,2018-04-11 07:49:22
569,2018-04-11 07:49:22
570,2018-04-11 07:49:23
571,2018-04-11 07:49:23
572,2018-04-11 07:49:24
573,2018-04-11 07:49:25
574,2018-04-11 07:49:25
575,2018-04-11 07:49:28
576,2018-04-11 07:49:28
577,2018-04-11 07:49:29
578,2018-04-11 07:49:29
579,2018-04-11 07:49:32
580,2018-04-11 07:49:35
581,2018-04-11 07:49:39
582,2018-04-11 07:49:41
583,2018-04-11 07:49:43
584,2018-04-11 07:49:43
585,2018-04-11 07:49:43
586,2018-04-11 07:49:45
587,2018-04-11 07:49:47
588,2018-04-11 07:49:49
589,2018-04-11 07:49:49
590,2018-04-11 07:49:50
591,2018-04-11 07:49:50
592,2018-04-11 07:49:54
593,2018-04-11 07:50:05
594,2018-04-11 07:50:05
595,2018-04-11 07:50:06
596,2018-04-11 07:50:07
597,2018-04-11 07:50:09
598,2018-04-11 07:50:11
599,2018-04-11 07:50:12
600,2018-04-11 07:50:16
601,2018-04-11 07:50:19
602,2018-04-11 07:50:19
603,2018-04-11 07:50:20
604,2018-04-11 07:50:22
605,2018-04-11 07:50:25
606,2018-04-11 07:50:26
607,2018-04-11 07:50:27
608,2018-04-11 07:50:27
609,2018-04-11 07:50:29
610,2018-04-11 07:50:29
611,2018-04-11 07:50:33
612,2018-04-11 07:50:33
613,2018-04-11 07:50:33
614,2018-04-11 07:50:34
615,2018-04-11 07:50:36
616,2018-04-11 07:50:37
617,2018-04-11 07:50:39
618,2018-04-11 07:50:42
619,2018-04-11 07:50:42
620,2018-04-11 07:50:43
621,2018-04-11 07:50:45
622,2018-04-11 07:50:53
623,2018-04-11 07:50:58
624,2018-04-11 07:50:59
625,2018-04-11 07:51:01
626,2018-04-11 07:51:03
627,2018-04-11 07:51:03
628,2018-04-11 07:51:06
629,2018-04-11 07:51:06
630,2018-04-11 07:51:13
631,2018-04-11 07:51:13
632,2018-04-11 07:51:13
633,2018-04-11 07:51:19
634,2018-04-11 07:51:19
635,2018-04-11 07:51:19
636,2018-04-11 07:51:22
637,2018-04-11 07:51:27
638,2018-04-11 07:51:30
639,2018-04-11 07:51:31
640,2018-04-11 07:51:33
641,2018-04-11 07:51:35
642,2018-04-11 07:51:37
643,2018-04-11 07:51:41
644,2018-04-11 07:51:41
645,2018-04-11 07:51:43
646,2018-04-11 07:51:46
647,2018-04-11 07:51:48
648,2018-04-11 07:51:49
649,2018-04-11 07:51:49
650,2018-04-11 07:51:51
651,2018-04-11 07:51:52
652,2018-04-11 07:51:53
653,2018-04-11 07:51:55
654,2018-04-11 07:51:55
655,2018-04-11 07:51:56
656,2018-04-11 07:51:57
657,2018-04-11 07:51:57
658,2018-04-11 07:52:00
659,2018-04-11 07:52:02
660,2018-04-11 07:52:03
661,2018-04-11 07:52:06
662,2018-04-11 07:52:07
663,2018-04-11 07:52:08
664,2018-04-11 07:52:10
665,2018-04-11 07:52:10
666,2018-04-11 07:52:13
667,2018-04-11 07:52:13
668,2018-04-11 07:52:15
669,2018-04-11 07:52:16
670,2018-04-11 07:52:20
671,2018-04-11 07:52:25
672,2018-04-11 07:52:28
673,2018-04-11 07:52:28
674,2018-04-11 07:52:33
675,2018-04-11 07:52:34
676,2018-04-11 07:52:37
677,2018-04-11 07:52:40
678,2018-04-11 07:52:40
679,2018-04-11 07:52:41
680,2018-04-11 07:52:41
681,2018-04-11 07:52:43
682,2018-04-11 07:52:44
683,2018-04-11 07:52:44
684,2018-04-11 07:52:45
685,2018-04-11 07:52:46
686,2018-04-11 07:52:46
687,2018-04-11 07:52:47
688,2018-04-11 07:52:49
689,2018-04-11 07:52:56
690,2018-04-11 07:52:58
691,2018-04-11 07:53:00
692,2018-04-11 07:53:01
693,2018-04-11 07:53:02
694,2018-04-11 07:53:02
695,2018-04-11 07:53:04
696,2018-04-11 07:53:06
697,2018-04-11 07:53:06
698,2018-04-11 07:53:07
699,2018-04-11 07:53:12
700,2018-04-11 07:53:14
701,2018-04-11 07:53:14
702,2018-04-11 07:53:15
703,2018-04-11 07:53:15
704,2018-04-11 07:53:15
705,2018-04-11 07:53:20
706,2018-04-11 07:53:20
707,2018-04-11 07:53:20
708,2018-04-11 07:53:22
709,2018-04-11 07:53:23
710,2018-04-11 07:53:24
711,2018-04-11 07:53:26
712,2018-04-11 07:53:27
713,2018-04-11 07:53:28
714,2018-04-11 07:53:31
715,2018-04-11 07:53:34
716,2018-04-11 07:53:35
717,2018-04-11 07:53:37
718,2018-04-11 07:53:39
719,2018-04-11 07:53:44
720,2018-04-11 07:53:44
721,2018-04-11 07:53:44
722,2018-04-11 07:53:46
723,2018-04-11 07:53:47
724,2018-04-11 07:53:51
725,2018-04-11 07:53:52
726,2018-04-11 07:53:57
727,2018-04-11 07:53:57
728,2018-04-11 07:53:58
729,2018-04-11 07:53:59
730,2018-04-11 07:54:00
731,2018-04-11 07:54:01
732,2018-04-11 07:54:02
733,2018-04-11 07:54:02
734,2018-04-11 07:54:07
735,2018-04-11 07:54:08
736,2018-04-11 07:54:08
737,2018-04-11 07:54:09
738,2018-04-11 07:54:09
739,2018-04-11 07:54:10
740,2018-04-11 07:54:12
741,2018-04-11 07:54:12
742,2018-04-11 07:54:13
743,2018-04-11 07:54:14
744,2018-04-11 07:54:14
745,2018-04-11 07:54:15
746,2018-04-11 07:54:18
747,2018-04-11 07:54:20
748,2018-04-11 07:54:22
749,2018-04-11 07:54:24
750,2018-04-11 07:54:24
751,2018-04-11 07:54:25
752,2018-04-11 07:54:28
753,2018-04-11 07:54:28
754,2018-04-11 07:54:36
755,2018-04-11 07:54:37
756,2018-04-11 07:54:37
757,2018-04-11 07:54:41
758,2018-04-11 07:54:46
759,2018-04-11 07:54:47
760,2018-04-11 07:54:47
761,2018-04-11 07:54:48
762,2018-04-11 07:54:49
763,2018-04-11 07:54:49
764,2018-04-11 07:54:49
765,2018-04-11 07:54:54
766,2018-04-11 07:54:54
767,2018-04-11 07:54:54
768,2018-04-11 07:54:55
769,2018-04-11 07:54:57
770,2018-04-11 07:54:58
771,2018-04-11 07:54:59
772,2018-04-11 07:55:00
773,2018-04-11 07:55:01
774,2018-04-11 07:55:04
775,2018-04-11 07:55:05
776,2018-04-11 07:55:09
777,2018-04-11 07:55:09
778,2018-04-11 07:55:09
779,2018-04-11 07:55:11
780,2018-04-11 07:55:11
781,2018-04-11 07:55:11
782,2018-04-11 07:55:19
783,2018-04-11 07:55:23
784,2018-04-11 07:55:26
785,2018-04-11 07:55:28
786,2018-04-11 07:55:30
787,2018-04-11 07:55:32
788,2018-04-11 07:55:32
789,2018-04-11 07:55:32
790,2018-04-11 07:55:33
791,2018-04-11 07:55:35
792,2018-04-11 07:55:35
793,2018-04-11 07:55:37
794,2018-04-11 07:55:40
795,2018-04-11 07:55:42
796,2018-04-11 07:55:42
797,2018-04-11 07:55:46
798,2018-04-11 07:55:46
799,2018-04-11 07:55:47
800,2018-04-11 07:55:49
801,2018-04-11 07:55:49
802,2018-04-11 07:55:51
803,2018-04-11 07:55:51
804,2018-04-11 07:55:52
805,2018-04-11 07:55:53
806,2018-04-11 07:55:54
807,2018-04-11 07:56:01
808,2018-04-11 07:56:01
809,2018-04-11 07:56:02
810,2018-04-11 07:56:03
811,2018-04-11 07:56:07
812,2018-04-11 07:56:09
813,2018-04-11 07:56:21
814,2018-04-11 07:56:22
815,2018-04-11 07:56:25
816,2018-04-11 07:56:26
817,2018-04-11 07:56:26
818,2018-04-11 07:56:27
819,2018-04-11 07:56:28
820,2018-04-11 07:56:29
821,2018-04-11 07:56:32
822,2018-04-11 07:56:33
823,2018-04-11 07:56:36
824,2018-04-11 07:56:38
825,2018-04-11 07:56:39
826,2018-04-11 07:56:41
827,2018-04-11 07:56:44
828,2018-04-11 07:56:45
829,2018-04-11 07:56:45
830,2018-04-11 07:56:49
831,2018-04-11 07:56:50
832,2018-04-11 07:56:53
833,2018-04-11 07:56:54
834,2018-04-11 07:56:54
835,2018-04-11 07:56:55
836,2018-04-11 07:56:55
837,2018-04-11 07:56:56
838,2018-04-11 07:56:59
839,2018-04-11 07:57:02
840,2018-04-11 07:57:02
841,2018-04-11 07:57:03
842,2018-04-11 07:57:03
843,2018-04-11 07:57:06
844,2018-04-11 07:57:06
845,2018-04-11 07:57:07
846,2018-04-11 07:57:08
847,2018-04-11 07:57:10
848,2018-04-11 07:57:10
849,2018-04-11 07:57:10
850,2018-04-11 07:57:13
851,2018-04-11 07:57:13
852,2018-04-11 07:57:14
853,2018-04-11 07:57:16
854,2018-04-11 07:57:17
855,2018-04-11 07:57:17
856,2018-04-11 07:57:18
857,2018-04-11 07:57:19
858,2018-04-11 07:57:20
859,2018-04-11 07:57:23
860,2018-04-11 07:57:23
861,2018-04-11 07:57:26
862,2018-04-11 07:57:29
863,2018-04-11 07:57:30
864,2018-04-11 07:57:30
865,2018-04-11 07:57:31
866,2018-04-11 07:57:31
867,2018-04-11 07:57:33
868,2018-04-11 07:57:34
869,2018-04-11 07:57:37
870,2018-04-11 07:57:42
871,2018-04-11 07:57:42
872,2018-04-11 07:57:42
873,2018-04-11 07:57:43
874,2018-04-11 07:57:43
875,2018-04-11 07:57:44
876,2018-04-11 07:57:44
877,2018-04-11 07:57:45
878,2018-04-11 07:57:45
879,2018-04-11 07:57:46
880,2018-04-11 07:57:47
881,2018-04-11 07:57:48
882,2018-04-11 07:57:49
883,2018-04-11 07:57:51
884,2018-04-11 07:57:52
885,2018-04-11 07:57:53
886,2018-04-11 07:57:55
887,2018-04-11 07:58:00
888,2018-04-11 07:58:00
889,2018-04-11 07:58:08
890,2018-04-11 07:58:08
891,2018-04-11 07:58:09
892,2018-04-11 07:58:09
893,2018-04-11 07:58:10
894,2018-04-11 07:58:11
895,2018-04-11 07:58:11
896,2018-04-11 07:58:14
897,2018-04-11 07:58:15
898,2018-04-11 07:58:15
899,2018-04-11 07:58:16
900,2018-04-11 07:58:19
901,2018-04-11 07:58:21
902,2018-04-11 07:58:21
903,2018-04-11 07:58:22
904,2018-04-11 07:58:23
905,2018-04-11 07:58:24
906,2018-04-11 07:58:26
907,2018-04-11 07:58:29
908,2018-04-11 07:58:30
909,2018-04-11 07:58:31
910,2018-04-11 07:58:32
911,2018-04-11 07:58:39
912,2018-04-11 07:58:39
913,2018-04-11 07:58:39
914,2018-04-11 07:58:42
915,2018-04-11 07:58:43
916,2018-04-11 07:58:47
917,2018-04-11 07:58:47
918,2018-04-11 07:58:47
919,2018-04-11 07:58:49
920,2018-04-11 07:58:49
921,2018-04-11 07:58:51
922,2018-04-11 07:58:52
923,2018-04-11 07:58:53
924,2018-04-11 07:58:55
925,2018-04-11 07:58:56
926,2018-04-11 07:58:57
927,2018-04-11 07:58:58
928,2018-04-11 07:58:59
929,2018-04-11 07:58:59
930,2018-04-11 07:58:59
931,2018-04-11 07:59:00
